pos_x, pos_y, pos_z
0.304429, -0.165330, 0.987583
0.377272, -0.784000, 0.782408
0.421878, -0.807010, 0.895007
0.157814, -1.230545, 1.421762
1.027717, -0.500745, 0.882652
0.878414, -0.416231, 0.724602
0.562370, -0.294713, 0.462337
0.873798, -0.502323, 0.746246
0.620135, -0.146930, 0.964528
1.354498, -0.390696, 1.159771
1.219331, -0.336830, 1.029623
1.118000, -0.406747, 0.925819
1.049079, -0.373988, 0.880468
0.539068, 0.020887, 0.761310
0.585064, 0.009956, 0.655740
0.676864, -0.876507, 0.914917
0.441714, -0.757280, 0.813882
0.431179, -0.758684, 0.782951
0.299918, -0.557652, 1.195155
0.359819, -0.781411, 0.796448
0.283902, -0.861054, 1.189929
0.394871, -1.025488, 1.432337
0.481329, -1.126321, 1.608390
0.579175, -0.336845, 0.494492
0.381353, -0.739462, 0.793913
0.731014, -0.254399, 0.784506
0.434200, -0.750454, 0.830865
0.601016, -0.008728, 0.794424
0.274622, 0.037514, 0.841003
0.468848, -1.305602, 1.759395
0.282083, -1.155667, 1.348700
0.102820, -0.151608, 0.771115
0.319695, -1.016536, 1.337885
0.418708, -0.746674, 0.785961
0.427781, -0.757916, 0.840098
0.405891, -0.780198, 0.843747
0.318385, -0.343718, 1.232114
0.050786, -0.915487, 1.012021
-1.123178, 0.319360, -1.335171
-1.112130, 0.110098, -1.091468
-0.767077, 1.549037, -2.271503
-0.915427, 1.673864, -2.569112
-1.094910, 0.630048, -1.628700
-0.730875, 0.922529, -2.147463
-0.517129, -0.430356, -0.127289
-0.171406, -0.836564, 0.606837
-0.725543, 0.135570, -0.823322
-0.594655, 0.569177, -0.609993
0.015366, -0.336727, -0.310680
-1.201508, 1.853687, -3.277340
-1.720943, 1.637495, -3.035558
-1.184023, 1.814501, -3.210272
-1.732268, 1.593080, -3.075751
-0.788148, 0.038259, -0.758729
-0.760491, 0.714670, -0.968573
-0.618047, 0.296600, -0.666203
-0.696661, -0.217980, -0.386141
0.368299, -0.644898, 0.332097
1.210800, 0.261502, 1.985245
0.602815, -0.064883, 0.859009
0.411633, -0.446975, 1.368260
0.724765, -0.130040, 0.341781
-0.390069, 0.353743, -0.208755
0.660149, -0.772600, 0.689844
-1.308691, 1.139431, -2.165669
-1.165264, 0.622902, -1.712370
-1.447380, 0.808320, -2.260350
-1.456115, 0.987523, -2.451578
-0.928340, 1.012580, -2.546548
-1.467784, 1.598179, -2.489925
-1.046876, 0.912035, -1.560201
-1.160567, 0.383277, -1.633983
-1.171900, 1.325984, -1.886816
0.716851, -1.091710, 1.113369
0.301006, -0.484966, 0.333199
-1.747550, 1.640101, -3.101691
-1.723397, 2.010137, -3.101759
-1.747127, 1.641561, -3.104795
-1.287046, 1.621528, -3.338624
-1.783392, 1.785783, -3.136210
-0.997735, 1.883166, -2.805635
-0.808864, 0.972347, -2.232607
-0.864558, 1.356623, -2.409448
-1.323338, 1.124463, -2.196324
-0.997327, 1.227256, -2.728391
-1.278361, 1.452885, -2.068703
-1.725446, 1.577191, -3.050471
-1.143662, 1.639618, -3.094622
-1.736646, 1.583408, -3.075128
-1.723181, 1.603778, -3.039064
-1.743991, 1.663353, -3.103745
-0.880384, 1.707806, -2.548566
-1.728516, 1.589910, -3.053759
-1.798007, 1.833776, -3.171264
-1.179759, 1.796323, -3.205906
-1.524894, 0.868422, -2.283361
-0.843712, 1.051894, -2.414907
-1.769394, 1.814706, -3.146729
-1.741339, 1.610266, -3.088895
0.580409, -1.061549, 1.122565
0.163126, 0.380559, -0.221390
-1.163517, 1.783406, -3.191365
-1.731966, 1.645443, -3.065610
-1.739545, 1.637081, -3.091001
-1.536623, 1.161098, -2.753687
-0.160655, 0.053884, -0.903628
-0.254905, -0.131030, 0.112507
1.165492, -0.588084, 0.506333
-1.535918, 1.804900, -2.687652
-1.791627, 1.507782, -3.164362
-1.719407, 1.639573, -3.038192
-1.058087, 0.592120, -1.585155
-1.051378, 0.913602, -1.576388
-0.868507, 0.318833, -1.257343
-0.478741, 0.105649, -0.963970
-1.048198, 0.906173, -1.546561
-0.775580, 0.143652, -1.001188
-1.006747, 1.093692, -1.517609
-0.594624, -0.096863, -0.539983
-1.019281, 0.735082, -1.565072
-1.005709, 0.790680, -1.563130
-1.018014, 0.761301, -1.551329
-1.010805, 0.764588, -1.552508
-1.007784, 0.752090, -1.533705
-1.182903, 1.834666, -3.224638
-1.161526, 2.018572, -3.221015
0.021372, -0.272917, -0.383863
0.360110, -0.479337, 0.130683
-0.848159, 1.675204, -2.498487
0.201361, 0.267331, 0.102317
-0.785160, 1.181525, -2.285269
-1.268834, 1.422339, -2.072616
-1.272665, 0.846784, -2.048655
-1.157850, 1.280601, -1.843020
-0.817028, 1.557792, -2.433306
-1.101613, 0.759934, -1.812372
-0.388021, -0.443388, 0.161630
0.798883, -0.006860, 0.441286
-0.374692, -0.170081, -0.147100
1.203251, -0.746314, 0.971823
0.617884, -0.330038, 0.647970
1.053240, -0.888686, 1.081602
-1.319256, 1.729135, -3.424612
-1.287664, 1.615025, -3.343458
-1.333713, 1.144481, -2.209425
-1.149422, 1.643044, -3.100043
-1.171606, 1.674600, -3.155405
-1.177206, 2.018679, -3.248082
-1.723887, 1.592282, -3.045461
-1.146171, 1.809835, -3.170998
-1.084174, 0.580451, -1.571468
-1.021163, 0.364502, -1.398215
-1.206287, 0.782084, -1.897449
-1.217565, 0.765583, -1.865590
-1.303653, 0.943308, -2.139250
-1.757072, 2.048606, -3.105715
-1.155121, 2.011273, -3.214781
-1.733076, 1.642474, -3.062107
-1.153407, 1.806366, -3.180402
-1.136720, 2.000111, -3.096785
-1.672563, 1.064716, -2.607474
-1.616391, 0.716179, -2.153530
-1.169269, 1.629667, -3.130505
-1.327420, 1.736951, -3.436752
-1.172594, 1.827780, -3.207512
-1.160947, 1.928353, -2.917132
-1.743613, 1.659416, -3.103500
-1.289872, 1.199787, -2.064369
-1.300361, 0.967059, -2.184302
-0.833125, 1.210357, -2.345541
0.482105, -1.592707, 2.107938
0.635435, -0.794943, 0.769432
0.060651, 0.369203, -0.348762
-0.763645, 1.527069, -2.269389
-1.146513, 1.929354, -2.896357
-1.155677, 1.809227, -3.175199
-1.747398, 1.613358, -3.124723
-1.743726, 1.674738, -3.100025
-0.713374, 0.024296, -0.674620
0.596728, -0.095290, 0.612866
-0.269010, 0.214798, 0.070147
-0.480338, 0.459853, -0.330088
0.751050, -0.239868, 0.399880
-0.320365, 0.006716, 0.009156
-1.044596, 0.912132, -1.562709
-1.123069, 0.398725, -1.423519
-1.017877, 0.717335, -1.534660
-0.887397, 0.336918, -1.362572
-0.514694, 0.420386, -1.490226
4.303218, -14.914982, 19.753092
-1.164996, 2.019440, -3.223854
-1.303013, 0.920269, -2.133426
-1.209021, 0.599835, -1.885468
-0.809583, 1.540917, -2.421264
0.920811, -1.781381, 2.649453
-0.857298, 0.845889, -2.459200
-1.768126, 1.476278, -3.148376
-1.742656, 1.621320, -3.106386
-0.991809, 0.520571, -1.446126
-1.153834, 1.800804, -3.158046
-1.628782, 0.878214, -2.359621
-1.747546, 1.647100, -3.102309
-1.354031, 1.572780, -2.316030
-0.864174, 0.820276, -2.439966
-1.787488, 1.789189, -3.143499
-1.327641, 1.134696, -2.210380
-1.320824, 1.153493, -2.204124
-1.290261, 1.209881, -2.106996
-1.290743, 1.195209, -2.072390
-1.201364, 0.822624, -1.940678
0.549277, -0.534865, 0.243048
1.363243, 0.047759, 1.257605
1.931209, -1.203631, 1.904328
1.373864, 0.046285, 1.265982
0.373110, -0.880117, 0.780061
-0.200842, -0.655505, 0.384263
-0.456641, 0.394563, -0.330862
-1.001238, 1.100693, -1.518026
0.509908, -0.595895, 0.471378
-1.202202, 0.816645, -1.933932
0.782634, -0.032836, 0.528506
1.235964, -0.715534, 1.061623
-0.444234, 0.415465, -0.303554
-0.389142, 0.352254, -0.197232
-1.733732, 1.645967, -3.069209
-1.169147, 1.637694, -3.154454
-0.787202, 1.541713, -2.388718
-1.888838, 1.654657, -3.432891
-1.150737, 1.812989, -3.167235
0.220015, -4.847775, 8.845387
1.246256, -0.870205, 0.947017
1.285634, -0.870624, 0.916085
0.320704, 0.601998, 1.273077
-0.803660, -2.269745, 1.775720
-1.734689, 1.631621, -3.087669
-1.173906, 2.029101, -3.244123
-0.879909, 0.859685, -2.368479
-0.843544, 0.172827, -1.183748
-1.350008, 0.850798, -2.125858
-0.912815, 0.449791, -1.327968
-1.135768, 2.018834, -3.196466
-1.661430, 1.186884, -2.743089
-1.720357, 2.030339, -3.088772
-1.176257, 2.030723, -3.246606
-0.304763, 0.257909, 0.035417
0.103697, 0.406368, -0.311808
0.115999, 0.438457, -0.315470
-1.012918, 1.086766, -1.638064
-1.308211, 1.108141, -2.167438
-1.327946, 1.145081, -2.217508
-1.522239, 0.882498, -2.299009
-1.512515, 0.844637, -2.237577
-0.777315, 1.201224, -2.295574
-0.142054, -0.658301, 0.574014
1.731161, -3.631143, 5.182955
1.055369, -2.637931, 3.366031
-0.782395, 1.098951, -2.291187
-0.940805, 0.954330, -2.460060
-1.805917, 1.461384, -3.169090
-1.698404, 1.628823, -2.844772
-1.112225, 2.040813, -3.107394
-2.093968, 2.120981, -3.889642
-1.578561, 2.135761, -4.034571
-1.801148, 1.494723, -3.146072
-1.217030, 1.547745, -3.258198
-1.381893, 1.536224, -2.340069
-1.085153, 1.277856, -2.891880
-1.202222, 1.635548, -3.289166
-1.725950, 1.245705, -2.865098
-1.757733, 2.049671, -3.093019
-1.519418, 2.193970, -3.950344
-1.722705, 1.636594, -3.039603
-1.921914, 1.419610, -3.326182
-2.029519, 1.534067, -3.430321
-1.184693, 2.027878, -3.249444
-1.848819, 2.165100, -3.358212
-1.792239, 1.516688, -3.167566
-1.249551, 1.682286, -3.353538
-1.939228, 2.281805, -3.499619
-1.860100, 2.188623, -3.368503
-2.030473, 2.394517, -3.773056
-2.080770, 2.146628, -3.953680
